Supplementary Table 2.  Description of all core sequences.						
						
Core metagenome ID	Functional Description	Taxonomy	CAZy class	Acc. No.	Average Abundance (per recA)	Std Error
aggregates-combined-assembly1_5256947_1_667_-	"Lytic transglycosylase, catalytic"	Bacteria;Proteobacteria;Betaproteobacteria	GH23	AAZ62020.1	0.033704037	0.005202379
aggregates-combined-assembly1_5416572_1_395_+	putative beta-galatosidase	Bacteria;Actinobacteria;Actinobacteridae	GH2	CAQ01039.1	0.033689432	0.010912642
aggregates-combined-assembly1_5341018_732_1042_+	"lytic murein transglycosylase, putative"	Bacteria;Proteobacteria;Deltaproteobacteria	GH23	ABA88570.1	0.033677431	0.007742758
aggregates-combined-assembly1_5390893_1_800_+	lipopolysaccharide heptosyltransferase II	Bacteria;candidate;Elusimicrobium	GT9	ACC98107.1	0.03367247	0.007520693
aggregates-combined-assembly1_5468526_392_541_-	alpha amylase catalytic region	Bacteria;Chloroflexi;Chloroflexales	GH13	ABU59950.1	0.033616167	0.010628578
aggregates-combined-assembly1_5378963_933_1358_-	hypothetical protein AN28252	Eukaryota;Fungi;Ascomycota	GH76	EAA63396.1	0.033559076	0.009141393
aggregates-combined-assembly1_4959115_1_419_-	"Alpha,alpha-trehalose-phosphate synthase (UDP-forming)"	Bacteria;Actinobacteria;Actinobacteridae	GT20	ABL83491.1	0.033542358	0.013353573
aggregates-combined-assembly1_5588309_1_378_-	secreted protein	Bacteria;Bacteroidetes;Flavobacteria	CE14	CAL66786.1	0.033445531	0.011120206
aggregates-combined-assembly1_5203733_1_1000_+	conserved hypothetical protein	Bacteria;Bacteroidetes;Sphingobacteria	CE14	ABG60113.1	0.033424364	0.006253335
aggregates-combined-assembly1_5401790_418_816_+	response regulator receiver protein	Bacteria;Actinobacteria;Actinobacteridae	GT2	ABS01822.1	0.03338197	0.006083569
aggregates-combined-assembly1_5624480_1_562_-	putative xylanase	Bacteria;Bacteroidetes;Bacteroidetes	CE10	AAO76194.1	0.033373592	0.007659638
aggregates-combined-assembly1_5391847_1290_1875_+	Glycosyltransferase	Bacteria;Verrucomicrobia;unclassified	GT4	ACD82944.1	0.033362253	0.004786909
aggregates-combined-assembly1_5242355_1_800_-	similar to Glycosyltransferases involved in cell wall biogenesis	Bacteria;Actinobacteria;Actinobacteridae	GT2	AAZ56206.1	0.033345024	0.011774062
aggregates-combined-assembly1_5070320_90_667_-	hypothetical protein MGG_10038	Eukaryota;Fungi;Dikarya	GH3	XP_365193.1	0.033309704	0.010903785
aggregates-combined-assembly1_5614538_19_478_+	hypothetical protein MG101174	Eukaryota;Fungi;Ascomycota	GT22	XP_365897.1	0.033304592	0.00947447
aggregates-combined-assembly1_5640817_1_280_-	polysaccharide deacetylase	Bacteria;Verrucomicrobia;Verrucomicrobiae	CE4	ACD05322.1	0.033289048	0.006295753
aggregates-combined-assembly1_5309773_1_940_-	Dolichyl-phosphate-mannose-protein mannosyltransferase family	Bacteria;Cyanobacteria;Chroococcales	GT83	ACA98300.1	0.033274291	0.00856924
aggregates-combined-assembly1_5309773_1804_2353_-	glycosyltransferase	Bacteria;Proteobacteria;Deltaproteobacteria	GT2	ABA88520.1	0.033274291	0.00856924
aggregates-combined-assembly1_5309773_973_1698_-	gll3582	Bacteria;Cyanobacteria;Gloeobacteria	GT83	BAC91523.1	0.033274291	0.00856924
aggregates-combined-assembly1_5574089_209_853_+	sialyltransferase 0160	Bacteria;Proteobacteria;Gammaproteobacteria	GT80	BAA25316.1	0.033222916	0.01037783
aggregates-combined-assembly1_5678581_1_242_-	Beta-glycosidase of family GH3; possible N-acetyl b-glucosaminidase	Bacteria;Cyanobacteria;Chroococcales	GH3	CAK27183.1	0.033195555	0.012741266
aggregates-combined-assembly1_5267973_119_751_-	conserved hypothetical protein	Bacteria;Proteobacteria;Gammaproteobacteria	GT2	ABG41727.1	0.033123013	0.013259751
aggregates-combined-assembly1_5613927_1_324_+	glycosyl transferase	Archaea;Euryarchaeota;Thermococci	GT4	AAL81482.1	0.032975832	0.007734286
aggregates-combined-assembly1_5441864_1_494_-	Alpha-L-fucosidase	Bacteria;Verrucomicrobia;Opitutae	GH29	ACB76253.1	0.032970209	0.009441087
aggregates-combined-assembly1_5549449_1_908_-	"glycosyl transferase, family 2"	Bacteria;Cyanobacteria;Oscillatoriales	GT2	ABG50779.1	0.032967225	0.011487461
aggregates-combined-assembly1_5573342_1_284_-	Glycogen synthase	Bacteria;Verrucomicrobia;unclassified	GT5	ACD83810.1	0.032964074	0.010862186
aggregates-combined-assembly1_5401826_190_676_-	"two-component system sensor histidine kinase/response regulator, hybrid (one component system)"	Bacteria;Bacteroidetes;Bacteroidetes	GT2	AAO76290.1	0.032950911	0.00841485
aggregates-combined-assembly1_5587995_1_584_+	all0919	Bacteria;Cyanobacteria;Nostocales	GT4	BAB72876.1	0.032936018	0.008338476
aggregates-combined-assembly1_5269077_1_1047_+	putative glycosyl hydrolase (glycosidase)	Bacteria;Proteobacteria;Alphaproteobacteria	GH13	ABQ38244.1	0.032867925	0.011376783
aggregates-combined-assembly1_5271221_1_748_+	"extracellular solute-binding protein, family 3"	Bacteria;Cyanobacteria;Nostocales	GH1	ACC80873.1	0.032857853	0.008646256
aggregates-combined-assembly1_5507812_100_846_-	"extracellular solute-binding protein, family 3"	Bacteria;Cyanobacteria;Nostocales	GH1	ACC80873.1	0.03280895	0.004481376
aggregates-combined-assembly1_5107197_1_700_-	beta-galactosidase	Bacteria;Actinobacteria;Actinobacteridae	GH2	CAQ01230.1	0.03269236	0.016592682
aggregates-combined-assembly1_5506692_209_1009_+	glycoside hydrolase family 3 domain protein	Bacteria;Actinobacteria;Actinobacteridae	GH3	ABW12656.1	0.032657008	0.008145123
aggregates-combined-assembly1_5506317_1_548_+	oxidoreductase domain protein	Bacteria;Acidobacteria;Solibacteres	none	ABJ81752.1	0.032640893	0.010272585
aggregates-combined-assembly1_5271687_1_435_-	hypothetical protein AN28252	Eukaryota;Fungi;Ascomycota	GH76	EAA63396.1	0.032588763	0.009802895
aggregates-combined-assembly1_5535623_1_685_+	putative carboxylesterase	Bacteria;Proteobacteria;Gammaproteobacteria	CE10	AAL20541.1	0.032504356	0.006667559
aggregates-combined-assembly1_5283923_1_723_+	putative beta-glucosidase	Bacteria;Actinobacteria;Actinobacteridae	GH3	CAQ00781.1	0.032438691	0.012095703
aggregates-combined-assembly1_5401431_459_895_+	"glycosyl transferase, family 2"	Bacteria;Proteobacteria;Betaproteobacteria	GT2	ABP33555.1	0.032408055	0.00468849
aggregates-combined-assembly1_5013065_157_751_+	putative carbohydrate-binding protein	Bacteria;Proteobacteria;Gammaproteobacteria	CBM32	ABD79742.1	0.032395634	0.015427262
aggregates-combined-assembly1_5030410_1_438_-	"two-component system sensor histidine kinase/response regulator, hybrid (one component system)"	Bacteria;Bacteroidetes;Bacteroidetes	GT2	AAO76290.1	0.03235475	0.01044831
aggregates-combined-assembly1_5364585_1455_1756_-	pullulan hydrolase type III	Archaea;Euryarchaeota;Thermococci	GH13	CAB94218.1	0.032334187	0.00874979
aggregates-combined-assembly1_5401627_1_592_-	hypothetical protein	Eukaryota;Fungi;Ascomycota	GH71	EAA31326.1	0.032217853	0.009314874
aggregates-combined-assembly1_5391260_1_811_-	putative sugar hydrolase	Bacteria;Actinobacteria;Actinobacteridae	GH4	CAB71199.1	0.032086743	0.004970979
aggregates-combined-assembly1_5551538_1_405_+	dTDP-4-dehydrorhamnose reductase	Bacteria;Cyanobacteria;Nostocales	GH1	ACC79009.1	0.032081783	0.005447183
aggregates-combined-assembly1_5520317_1_261_-	putative bifunctional protein	Bacteria;Actinobacteria;Actinobacteridae	CBM12	CAD55167.1	0.032054422	0.007202595
aggregates-combined-assembly1_5453522_1_586_+	squalene-phytoene synthase	Bacteria;Proteobacteria;Alphaproteobacteria	GT2	ABC20869.1	0.032053759	0.013839093
aggregates-combined-assembly1_5137619_1_575_+	putative glycogen phosphorylase	Bacteria;Actinobacteria;Actinobacteridae	GT35	BAG18926.1	0.03201859	0.011837924
aggregates-combined-assembly1_5137619_598_975_-	putative glycogen debranching enzyme	Bacteria;Actinobacteria;Actinobacteridae	CBM48	AAT82863.1	0.03201859	0.011837924
aggregates-combined-assembly1_5599442_1_252_+	"transcriptional regulator, AraC family"	Bacteria;Firmicutes;Clostridia	GH39	ABW17626.1	0.031994424	0.008406732
aggregates-combined-assembly1_5244183_86_862_-	cytidylyltransferase domain protein	Bacteria;Firmicutes;Clostridia	none	ACA46895.1	0.031955785	0.0067056
aggregates-combined-assembly1_4340188_1_244_+	Carbohydrate binding family 6	Bacteria;Bacteroidetes;Flavobacteria	CBM6	ABQ06340.1	0.031931139	0.014869958
aggregates-combined-assembly1_5640929_1_322_+	triacylglycerol lipase	Archaea;Euryarchaeota;Methanomicrobia	CE10	AAM06007.1	0.031888898	0.008177067
aggregates-combined-assembly1_5192765_1_530_-	Glycoside hydrolase	Bacteria;Proteobacteria;Gammaproteobacteria	GH15	ABA58092.1	0.031867731	0.008261248
aggregates-combined-assembly1_5363565_1_1064_-	"glycosyl transferase, family 2"	Bacteria;Proteobacteria;Deltaproteobacteria	GT2	ABL00931.1	0.031853393	0.003113061
aggregates-combined-assembly1_5561664_93_604_+	Dolichyl-phosphate-mannose-protein mannosyltransferase family	Bacteria;Cyanobacteria;Chroococcales	GT83	ACB00522.1	0.031845526	0.005922524
aggregates-combined-assembly1_5479295_1_886_-	"glycosyl transferase WecB/TagA/CpsF, putative"	Bacteria;Cyanobacteria;Acaryochloris	GT26	ABW27684.1	0.0318006	0.007241424
aggregates-combined-assembly1_5205826_1_725_+	putative glycosyl transferase	Bacteria;Actinobacteria;Actinobacteridae	GT2	BAG21787.1	0.031790863	0.007228258
aggregates-combined-assembly1_5309638_1_912_-	trehalose synthase	Bacteria;Firmicutes;Clostridia	GH13	ACA59364.1	0.031753674	0.010021928
aggregates-combined-assembly1_5309638_1337_2067_-	"Alpha amylase, catalytic region"	Bacteria;Proteobacteria;Gammaproteobacteria	GH13	ABA57342.1	0.031753674	0.010021928
aggregates-combined-assembly1_5309638_918_1310_-	"1,4-alpha-glucan branching enzyme"	Bacteria;Proteobacteria;Deltaproteobacteria	GH13	ABS27266.1	0.031753674	0.010021928
aggregates-combined-assembly1_5336556_127_1038_-	polysaccharide deacetylase	Bacteria;Cyanobacteria;Nostocales	CE4	ACC82473.1	0.031744356	0.006791262
aggregates-combined-assembly1_5588963_1_926_-	glycosyltransferase 36	Bacteria;Proteobacteria;Betaproteobacteria	GH94	ABB74486.1	0.031703229	0.003262814
aggregates-combined-assembly1_4869305_1_939_-	polysaccharide deacetylase	Bacteria;Proteobacteria;Betaproteobacteria	CE4	ABI59434.1	0.031661171	0.00612972
aggregates-combined-assembly1_5283221_1_878_-	"two-component system sensor histidine kinase/response regulator, hybrid (one component system)"	Bacteria;Bacteroidetes;Bacteroidetes	GT2	AAO76290.1	0.031648567	0.008342976
aggregates-combined-assembly1_5378465_1_562_+	hypothetical protein	Bacteria;Actinobacteria;Actinobacteridae	CBM13	BAG17198.1	0.031645056	0.007358389
aggregates-combined-assembly1_5533279_1_724_+	RafA	Bacteria;Proteobacteria;Gammaproteobacteria	GH36	CAP07694.1	0.031630208	0.007672562
aggregates-combined-assembly1_5106804_1_665_+	glycosyl transferase group 1	Bacteria;Chloroflexi;Chloroflexales	GT4	ABY36962.1	0.031587303	0.007663279
aggregates-combined-assembly1_5455184_1_404_+	putative glycosyltransferase	Bacteria;Firmicutes;Lactobacillales	GT2	AAG01981.1	0.031546175	0.005893021
aggregates-combined-assembly1_4972307_1_449_+	glycosyl transferase group 1	Archaea;Euryarchaeota;Methanococci	GT4	ABR56017.1	0.031516059	0.010114914
aggregates-combined-assembly1_5416279_75_955_+	bacteriolytic enzyme	Bacteria;Firmicutes;Bacillales	GH73	BAD02898.1	0.031442342	0.01266685
aggregates-combined-assembly1_5366309_1_477_-	"Glycosyl transferase, group 1"	Bacteria;Cyanobacteria;Nostocales	GT4	ABA22050.1	0.031421719	0.016817093
aggregates-combined-assembly1_5467969_56_958_-	peptidase M23B	Bacteria;Firmicutes;Clostridia	GH23	ABY95850.1	0.031406327	0.012084623
aggregates-combined-assembly1_4830653_1_751_-	"glycoside hydrolase family 2, sugar binding"	Bacteria;Acidobacteria;Solibacteres	GH2	ABJ88435.1	0.031297138	0.012790955
aggregates-combined-assembly1_5402213_1_739_+	"alpha amylase, catalytic region"	Bacteria;Deinococcus-Thermus;Deinococci	GH13	ABF44874.1	0.031293292	0.00966439
aggregates-combined-assembly1_5367618_1_500_-	Glycosyltransferase of family GT51; modular; contains a C-terminal transpeptidase domain; probable murein polymerase	Bacteria;Cyanobacteria;Chroococcales	GT51	CAK28193.1	0.031249876	0.010684442
aggregates-combined-assembly1_5638564_1_534_+	putative transferase	Bacteria;Actinobacteria;Actinobacteridae	GT4	CAB75373.1	0.031235631	0.015053248
aggregates-combined-assembly1_5385316_1_290_+	penicillin-binding protein 1C	Bacteria;Proteobacteria;Betaproteobacteria	GT51	ABC35664.1	0.031225199	0.011405754
aggregates-combined-assembly1_5255880_866_1477_-	SPY protein	Bacteria;Proteobacteria;Alphaproteobacteria	GT41	BAE51161.1	0.031220179	0.012432765
aggregates-combined-assembly1_4983863_1_178_+	glycosyltransferase protein	Bacteria;Proteobacteria;Alphaproteobacteria	GT4	ABC93476.1	0.031192786	0.010342042
aggregates-combined-assembly1_5671888_1_583_-	RB110	Bacteria;Proteobacteria;Alphaproteobacteria	GT2	AAN05131.1	0.031168049	0.011215891
aggregates-combined-assembly1_5535454_942_1333_-	hypothetical protein AN28252	Eukaryota;Fungi;Ascomycota	GH76	EAA63396.1	0.031154374	0.005876286
aggregates-combined-assembly1_5257701_1_566_+	conserved hypothetical protein	Bacteria;Proteobacteria;Alphaproteobacteria	GH94	CAK03480.1	0.031099864	0.01441765
aggregates-combined-assembly1_5377084_1_601_+	hypothetical protein	Bacteria;Cyanobacteria;Chroococcales	GT2	BAD78567.1	0.031095355	0.007516531
aggregates-combined-assembly1_5200538_1_276_+	beta-glucuronidase	Bacteria;Actinobacteria;Actinobacteridae	GH2	AAT84037.1	0.031075035	0.010345635
aggregates-combined-assembly1_5109348_380_595_+	380aa long hypothetical protein	Archaea;Euryarchaeota;Thermococci	CE9	BAA29076.1	0.031036938	0.014151713
aggregates-combined-assembly1_5297201_954_1325_+	"glycosyl transferase, group 1"	Bacteria;Actinobacteria;Actinobacteridae	GT4	ABK02043.1	0.03092178	0.007549833
aggregates-combined-assembly1_4732938_1_225_+	esterase	Bacteria;Proteobacteria;Gammaproteobacteria	CE10	AAF84552.1	0.030907757	0.010604214
aggregates-combined-assembly1_5295291_309_998_-	unnamed protein product	Eukaryota;Fungi;Dikarya	CE4	BAE56160.1	0.0308777	0.009197668
aggregates-combined-assembly1_5483828_107_646_-	glycosyl transferase family 9	Bacteria;Verrucomicrobia;Opitutae	GT9	ACB76010.1	0.030831797	0.008564896
aggregates-combined-assembly1_5191536_1_802_-	"Fibronectin, type III domain protein"	Bacteria;Bacteroidetes;Flavobacteria	PL1	ABQ05655.1	0.03082551	0.015212403
aggregates-combined-assembly1_5012222_1_789_+	Glycosyltransferase 28 domain protein	Archaea;Korarchaeota;Candidatus	GT1	ACB08216.1	0.03080065	0.004481212
aggregates-combined-assembly1_5374658_1_239_-	glycosyltransferase 36	Bacteria;Proteobacteria;Deltaproteobacteria	GT84	ABQ28483.1	0.030789647	0.010508074
aggregates-combined-assembly1_5625608_1_392_+	UDP-N-acetylglucosamine:LPS N-acetylglucosamine transferase fused to PHP family phosphoesterase	Bacteria;Verrucomicrobia;unclassified	GT28	ACD83686.1	0.030754083	0.009826388
aggregates-combined-assembly1_5001420_1_395_-	amidohydrolase	Bacteria;Proteobacteria;Gammaproteobacteria	CE9	ABI69895.1	0.030696573	0.010398841
aggregates-combined-assembly1_5509381_104_588_-	polysaccharide biosynthesis protein	Bacteria;Actinobacteria;Actinobacteridae	GT28	ABM08975.1	0.030514239	0.013800372
aggregates-combined-assembly1_5691082_1_247_+	Kojibiose phosphorylase	Bacteria;Proteobacteria;Alphaproteobacteria	GH65	ABY28466.1	0.03050973	0.008753893
aggregates-combined-assembly1_5598980_1_975_+	UDP-galactopyranose mutase	Bacteria;Acidobacteria;Solibacteres	GT4	ABJ81361.1	0.030499147	0.006437912
aggregates-combined-assembly1_5362872_101_717_-	putative secreted penicillin-binding protein	Bacteria;Actinobacteria;Actinobacteridae	GT51	CAB42729.1	0.030483695	0.00789864
aggregates-combined-assembly1_5281756_169_972_+	hypothetical protein	Eukaryota;Fungi;Ascomycota	GH93	EAA29319.1	0.030458866	0.005635238
aggregates-combined-assembly1_5242157_53_624_-	Kojibiose phosphorylase	Bacteria;Actinobacteria;Actinobacteridae	GH65	ABL82921.1	0.030431656	0.01002335
aggregates-combined-assembly1_5162299_672_896_-	hypothetical protein Cphy_1645	Bacteria;Firmicutes;Clostridia	GT2	ABX42017.1	0.030421013	0.013659107
aggregates-combined-assembly1_5162299_983_2021_-	hypothetical protein Cphy_1645	Bacteria;Firmicutes;Clostridia	GT2	ABX42017.1	0.030421013	0.013659107
aggregates-combined-assembly1_4930348_1_449_-	polysaccharide deacetylase-like protein	Bacteria;Proteobacteria;Gammaproteobacteria	CE4	ABD79403.1	0.030404958	0.01085363
aggregates-combined-assembly1_5624501_1_510_+	lipopolysaccharide heptosyltransferase II	Bacteria;Proteobacteria;Gammaproteobacteria	GT9	ABC27928.1	0.030400601	0.008880538
aggregates-combined-assembly1_5588971_1_782_-	peptidase M23B	Bacteria;Firmicutes;Clostridia	GH23	ABY95850.1	0.030365097	0.004286867
aggregates-combined-assembly1_5637163_1_618_-	putative bifunctional enzyme including aminotransferase and chitin synthase	Bacteria;Proteobacteria;Gammaproteobacteria	GT2	CAG74948.1	0.030360229	0.006525487
aggregates-combined-assembly1_5246480_1_717_-	putative serine/threonine protein kinase (fragment)	Bacteria;Actinobacteria;Actinobacteridae	CBM13	CAD55485.1	0.030354697	0.008368852
aggregates-combined-assembly1_4986760_1_560_-	Mannose-1-phosphate guanylyltransferase (GDP)	Bacteria;Proteobacteria;Betaproteobacteria	GT4	ACC75758.1	0.030354606	0.005257567
aggregates-combined-assembly1_5505932_1_798_+	"two-component system sensor histidine kinase/response regulator, hybrid (one component system)"	Bacteria;Bacteroidetes;Bacteroidetes	GT2	AAO76290.1	0.03034387	0.006177964
aggregates-combined-assembly1_5624170_1_186_-	UDP-N-acetylglucosamine:LPS N-acetylglucosamine transferase fused to PHP family phosphoesterase	Bacteria;Verrucomicrobia;unclassified	GT28	ACD83686.1	0.030234322	0.009517824
aggregates-combined-assembly1_5628407_1_214_+	PHP family phosphoesterase fused to glycosyltransferase	Bacteria;Verrucomicrobia;unclassified	GT4	ACD84038.1	0.03020889	0.00838829
aggregates-combined-assembly1_5218723_418_906_+	"two-component system sensor histidine kinase/response regulator, hybrid (one component system)"	Bacteria;Bacteroidetes;Bacteroidetes	GT2	AAO76290.1	0.030012067	0.006621432
aggregates-combined-assembly1_5402417_1_594_+	glycoside hydrolase 15-related	Bacteria;Actinobacteria;Actinobacteridae	GH15	ABS01710.1	0.030010953	0.009721657
aggregates-combined-assembly1_5575000_1_477_+	4-alpha-glucanotransferase	Bacteria;Verrucomicrobia;unclassified	GH77	ACD82997.1	0.029990389	0.00762395
aggregates-combined-assembly1_5493850_1_689_-	ADP-heptose	Bacteria;Proteobacteria;Alphaproteobacteria	GT9	BAE49332.1	0.029934505	0.003590289
aggregates-combined-assembly1_5535426_1_288_+	Glycogen debranching enzyme	Bacteria;Verrucomicrobia;unclassified	none	ACD82945.1	0.029919098	0.008144579
aggregates-combined-assembly1_5295092_409_684_+	glycosyl transferase family 39	Bacteria;Proteobacteria;Betaproteobacteria	GT83	ACD26887.1	0.029825376	0.005766468
aggregates-combined-assembly1_5041358_1_195_-	Malto-oligosyltrehalose synthase	Bacteria;Proteobacteria;Alphaproteobacteria	GH13	ABE40710.1	0.029819845	0.00792934
aggregates-combined-assembly1_5041358_317_853_-	glycosyl hydrolase (glycogen debranching enzyme)	Bacteria;Proteobacteria;Alphaproteobacteria	CBM48	ABQ38242.1	0.029819845	0.00792934
aggregates-combined-assembly1_5041358_856_1200_-	glycogen debranching enzyme GlgX	Bacteria;Proteobacteria;Alphaproteobacteria	CBM48	ABA04468.1	0.029819845	0.00792934
aggregates-combined-assembly1_5438984_391_653_+	hypothetical protein Aasi_1439	Bacteria;Bacteroidetes;Candidatus	GH3	ACE06729.1	0.02981909	0.009077639
aggregates-combined-assembly1_5520405_1_593_-	Tetratricopeptide TPR_2 repeat protein	Bacteria;Proteobacteria;Alphaproteobacteria	GT41	ABJ06456.1	0.029813618	0.008576908
aggregates-combined-assembly1_5080103_591_1054_+	glycosyl transferase group 1	Bacteria;Chloroflexi;Chloroflexales	GT4	ABU56167.1	0.029803127	0.010200094
aggregates-combined-assembly1_5559607_1_601_+	glycogen debranching enzyme GlgX	Bacteria;Verrucomicrobia;Opitutae	CBM48	ACB75293.1	0.029798678	0.006997473
aggregates-combined-assembly1_5351521_1_769_+	putative esterase	Bacteria;Actinobacteria;Actinobacteridae	CE1	ABW10985.1	0.029782655	0.010714334
aggregates-combined-assembly1_5163049_220_687_+	TPR repeat protein	Bacteria;environmental;	GT41	AAR38495.1	0.029736148	0.00999214
aggregates-combined-assembly1_5792176_1_277_-	CHU large protein; glucose/sorbosone dehydrogenase-related	Bacteria;Bacteroidetes;Sphingobacteria	CBM9	ABG58494.1	0.029721299	0.010205595
aggregates-combined-assembly1_5560409_1_712_+	glycogen/starch/alpha-glucan phosphorylase	Bacteria;Proteobacteria;Epsilonproteobacteria	GT35	BAF70054.1	0.029721208	0.007673986
aggregates-combined-assembly1_5231344_1_564_-	putative Glycosyl hydrolases family 32	Bacteria;Actinobacteria;Actinobacteridae	GH32	ABM07719.1	0.029705696	0.01056823
aggregates-combined-assembly1_5391395_337_881_+	glycosyltransferase	Bacteria;Firmicutes;Bacillales	GT2	BAB07376.1	0.02968655	0.008287049
aggregates-combined-assembly1_5350396_1_766_+	TPR repeat	Bacteria;Cyanobacteria;Prochlorales	GT41	AAZ58723.1	0.029657923	0.010571896
aggregates-combined-assembly1_5736594_89_294_-	glycoside hydrolase family 95	Bacteria;Bacteroidetes;Bacteroidetes	GH95	AAO76117.1	0.029631736	0.009744133
aggregates-combined-assembly1_4796778_1_757_+	conserved repeat domain	Bacteria;Acidobacteria;Solibacteres	CBM47	ABJ81631.1	0.029595964	0.011743153
aggregates-combined-assembly1_5359312_91_453_-	glycosyl transferase group 1	Bacteria;Proteobacteria;Betaproteobacteria	none	ACB34608.1	0.02955502	0.011062327
aggregates-combined-assembly1_5585942_1_441_-	unnamed protein product	Eukaryota;Fungi;Dikarya	CE4	BAE56160.1	0.029534457	0.008125459
aggregates-combined-assembly1_5682702_1_492_+	"alpha amylase, catalytic region"	Bacteria;Proteobacteria;Betaproteobacteria	GH13	ABI58986.1	0.029502646	0.009426805
aggregates-combined-assembly1_5066949_1_767_+	HAD-superfamily hydrolase subfamily IIIA	Bacteria;Actinobacteria;Actinobacteridae	GT2	CAM04760.1	0.029487438	0.011887523
aggregates-combined-assembly1_5523831_1_455_+	Beta-galactosidase	Bacteria;Firmicutes;Lactobacillales	GH42	ABJ57666.1	0.029471232	0.011321537
aggregates-combined-assembly1_5179097_1_734_+	Three-deoxy-D-manno-octulosonic-acid transferase domain protein	Bacteria;Proteobacteria;Deltaproteobacteria	GT30	ABK19422.1	0.029456894	0.006367526
aggregates-combined-assembly1_5043053_144_892_+	"glycoside hydrolase family 3, candidate beta-glycosidase"	Bacteria;Bacteroidetes;Bacteroidetes	GH3	ABR44063.1	0.029445045	0.008443656
aggregates-combined-assembly1_4913475_1_471_+	putative Serine/threonine protein kinase pkaA (protein kinase A)	Bacteria;Actinobacteria;Actinobacteridae	CBM13	CAJ63931.1	0.029364995	0.001392135
aggregates-combined-assembly1_5206053_1_669_+	glycosyl transferase group 1	Bacteria;Verrucomicrobia;Opitutae	GT4	ACB74521.1	0.029332917	0.008975205
aggregates-combined-assembly1_5636223_734_879_+	glycoside hydrolase family 1	Bacteria;Chloroflexi;Chloroflexales	GH1	ABY33610.1	0.029301862	0.007653936
aggregates-combined-assembly1_5414698_1_931_-	peptidase M23B	Bacteria;Firmicutes;Clostridia	GH23	ABY92024.1	0.029244048	0.013914928
aggregates-combined-assembly1_4732959_1_228_-	trehalose synthase	Bacteria;Actinobacteria;Actinobacteridae	GH13	ABM06467.1	0.029239088	0.008645031
aggregates-combined-assembly1_5178811_75_994_+	putative bifunctional enzyme including aminotransferase and chitin synthase	Bacteria;Proteobacteria;Gammaproteobacteria	GT2	CAG74948.1	0.029234639	0.003809568
aggregates-combined-assembly1_5311498_1_478_+	putative alpha glucosidase	Bacteria;Actinobacteria;Actinobacteridae	GH13	ABM07243.1	0.029232862	0.007403299
aggregates-combined-assembly1_5624927_323_625_-	Spore germination protein	Bacteria;Firmicutes;Bacillales	CBM50	ACA41547.1	0.029213564	0.002943418
aggregates-combined-assembly1_5481549_1_449_-	glycoside hydrolase family 33	Bacteria;Bacteroidetes;Bacteroidetes	none	ABR39477.1	0.029155811	0.004471835
aggregates-combined-assembly1_5665275_1_959_+	hypothetical protein	Eukaryota;Fungi;Ascomycota	GH93	EAA29319.1	0.029155391	0.008892994
aggregates-combined-assembly1_5665275_1018_1525_+	hypothetical protein	Eukaryota;Fungi;Ascomycota	GH93	EAA29319.1	0.029155391	0.008892994
aggregates-combined-assembly1_5217357_1_789_-	glycosyl hydrolase family protein	Bacteria;Actinobacteria;Actinobacteridae	GH3	ABM10630.1	0.029145411	0.008918606
aggregates-combined-assembly1_5029191_14_752_-	protein of unknown function DUF608	Archaea;Crenarchaeota;Thermoprotei	none	ABW02103.1	0.029124244	0.005662115
aggregates-combined-assembly1_5179914_1_386_-	glycosyltransferase	Bacteria;Proteobacteria;Deltaproteobacteria	GT4	CAN97490.1	0.029098812	0.005105461
aggregates-combined-assembly1_5258377_1_722_-	Sequence 8620 from patent US 6610836	Unclassified;;	GH23	AAR48903.1	0.029085322	0.005944644
aggregates-combined-assembly1_5217163_104_952_-	putative beta-glucosidase	Bacteria;Bacteroidetes;Bacteroidetes	GH3	CAH06053.1	0.029083452	0.007884909
aggregates-combined-assembly1_5468116_1_419_-	dolichol-phosphate mannosyltransferase	Bacteria;Aquificae;Aquificales	GT2	AAC07699.1	0.029066491	0.006747052
aggregates-combined-assembly1_5455492_1_417_-	glycosyl transferase group 1	Bacteria;Proteobacteria;Alphaproteobacteria	GT4	ABR64412.1	0.029057266	0.005001337
aggregates-combined-assembly1_4868953_1_228_-	glycosyltransferase family 4	Bacteria;Bacteroidetes;Bacteroidetes	GT4	ABR40059.1	0.028969304	0.008024715
aggregates-combined-assembly1_4868953_234_709_-	"Glycosyl transferase, group 1"	Bacteria;Proteobacteria;Epsilonproteobacteria	GT4	ABB44978.1	0.028969304	0.008024715
aggregates-combined-assembly1_5651073_1_227_+	glycoside hydrolase family 13 domain protein	Bacteria;Chloroflexi;Chloroflexales	CBM48	ABU57344.1	0.028907948	0.008350473
aggregates-combined-assembly1_5507841_1_536_+	alpha-mannosidase	Bacteria;Actinobacteria;Actinobacteridae	GH38	ABY22262.1	0.028901722	0.010592124
aggregates-combined-assembly1_5031827_150_513_+	hypothetical protein AN28252	Eukaryota;Fungi;Ascomycota	GH76	EAA63396.1	0.02889661	0.00529974
aggregates-combined-assembly1_5030882_1_449_+	unnamed protein product	Eukaryota;Fungi;Dikarya	CE4	BAE56160.1	0.028850706	0.004059596
