Contig	Mean Abundance	SE	Cazy Class	Cazy Family	Best Hit ID	Description	Taxonomy Lineage			
aggregates-combined-assembly1_5110907_717_992_-	aggregates-combined-assembly1_5110907_717_992_-	0.018332936325725	0.00499369452494181	n.d.	GH65	GH	CAB69693.1	putative glycosyl transferase	Bacteria	Actinobacteria	Actinobacteridae
aggregates-combined-assembly1_5111987_1_596_+	aggregates-combined-assembly1_5111987_1_596_+	0.0231101550118	0.00691700566763499	n.d.	GH3	GH	BAF39975.1	putative beta-glucosidase	Bacteria	Actinobacteria	Actinobacteridae
aggregates-combined-assembly1_5119699_1_289_-	aggregates-combined-assembly1_5119699_1_289_-	0.01800600138351	0.00682623522817917	n.d.	GT4	GT	CAN02769.1	putative bifunctional glycosyl transferase/isomerase	Bacteria	Actinobacteria	Actinobacteridae
aggregates-combined-assembly1_5120859_1_350_+	aggregates-combined-assembly1_5120859_1_350_+	0.02404814688335	0.00496002247484521	n.d.	GH4	GH	AAZ56801.1	6-phospho-beta-glucosidase	Bacteria	Actinobacteria	Actinobacteridae
aggregates-combined-assembly1_5120991_1_1116_+	aggregates-combined-assembly1_5120991_1_1116_+	0.022533152436405	0.00553007267009315	n.d.	GH94	GH	CAK03480.1	conserved hypothetical protein	Bacteria	Proteobacteria	Alphaproteobacteria
aggregates-combined-assembly1_5123083_1_347_+	aggregates-combined-assembly1_5123083_1_347_+	0.026635182713825	0.00970449098556429	n.d.	GT2	GT	CAD75990.1	putative polyprenol phosphate mannosyl transferase 1 (Ppm1)	Bacteria	Planctomycetes	Planctomycetacia
aggregates-combined-assembly1_5123083_421_1068_+	aggregates-combined-assembly1_5123083_421_1068_+	0.026635182713825	0.00970449098556429	n.d.	GT4	GT	ABU59697.1	glycosyl transferase family 2	Bacteria	Chloroflexi	Chloroflexales
aggregates-combined-assembly1_5123497_399_1058_+	aggregates-combined-assembly1_5123497_1061_1269_+	0.02390182837067	0.00820422229943208	n.d.	GT2	GT	AAW85346.1	predicted acyltransferase	Bacteria	Proteobacteria	Gammaproteobacteria
aggregates-combined-assembly1_5123497_1061_1269_+	aggregates-combined-assembly1_5123497_399_1058_+	0.02390182837067	0.00820422229943208	n.d.	GT2	GT	ACB66543.1	glycosyl transferase family 2	Bacteria	Proteobacteria	Betaproteobacteria
aggregates-combined-assembly1_5126949_1_382_+	aggregates-combined-assembly1_5126949_1_382_+	0.024098919127925	0.00506132750004584	n.d.	GT41	GT	ABW66894.1	Tetratricopeptide TPR_2 repeat protein	Bacteria	Proteobacteria	Deltaproteobacteria
aggregates-combined-assembly1_5126949_1348_1914_-	aggregates-combined-assembly1_5126949_1348_1914_-	0.024098919127925	0.00506132750004584	n.d.	GT2	GT	ABF40041.1	glycosyl transferase, family 2	Bacteria	Acidobacteria	Acidobacteriales
aggregates-combined-assembly1_5135330_194_1081_+	aggregates-combined-assembly1_5135330_1168_1341_+	0.0187001519415225	0.0047470086958829	n.d.	GT21	GT	ACB50102.1	hypothetical protein cce_0751	Bacteria	Cyanobacteria	Chroococcales
aggregates-combined-assembly1_5135330_1168_1341_+	aggregates-combined-assembly1_5135330_194_1081_+	0.0187001519415225	0.0047470086958829	n.d.	GT21	GT	ABG53868.1	glycosyl transferase, family 2	Bacteria	Cyanobacteria	Oscillatoriales
aggregates-combined-assembly1_5135946_1_808_-	aggregates-combined-assembly1_5135946_1_808_-	0.0232068311414025	0.00530370411527503	n.d.	GT4	GT	ABK44055.1	glycosyl transferase, group 1	Bacteria	Proteobacteria	Magnetococcus
aggregates-combined-assembly1_5136137_1_836_+	aggregates-combined-assembly1_5136137_1_836_+	0.0282004381164225	0.00998886656373289	n.d.	CE1	CE	ABF88528.1	putative lipoprotein	Bacteria	Proteobacteria	Deltaproteobacteria
aggregates-combined-assembly1_5137277_58_537_-	aggregates-combined-assembly1_5137277_58_537_-	0.0252101712478	0.00302036170994105	n.d.	GT4	GT	ABK01659.1	glycosyl transferase, group 1	Bacteria	Actinobacteria	Actinobacteridae
aggregates-combined-assembly1_5137302_1_488_+	aggregates-combined-assembly1_5137302_1_488_+	0.0205106066177525	0.00784664063998728	n.d.	GT35	GT	ABL81323.1	alpha-glucan phosphorylases	Bacteria	Actinobacteria	Actinobacteridae
aggregates-combined-assembly1_5137619_1_575_+	aggregates-combined-assembly1_5137619_1_575_+	0.03201858996965	0.0118379241114069	n.d.	GT35	GT	BAG18926.1	putative glycogen phosphorylase	Bacteria	Actinobacteria	Actinobacteridae
aggregates-combined-assembly1_5137619_598_975_-	aggregates-combined-assembly1_5137619_598_975_-	0.03201858996965	0.0118379241114069	n.d.	CBM48	CB	AAT82863.1	putative glycogen debranching enzyme	Bacteria	Actinobacteria	Actinobacteridae
aggregates-combined-assembly1_5148115_412_996_-	aggregates-combined-assembly1_5148115_412_996_-	0.02320818910155	0.00713365883721364	n.d.	GH103	GH	CAD18391.2	putative membrane-bound lytic murein transglycosylase b protein	Bacteria	Proteobacteria	Betaproteobacteria
aggregates-combined-assembly1_5149147_184_825_+	aggregates-combined-assembly1_5149147_184_825_+	0.035761332025555	0.00906558990395445	n.d.	GT2	GT	ABS01822.1	response regulator receiver protein	Bacteria	Actinobacteria	Actinobacteridae
aggregates-combined-assembly1_5149320_1340_1785_-	aggregates-combined-assembly1_5149320_1340_1785_-	0.0212935658352775	0.00537139514325427	n.d.	GT4	GT	ABC80791.1	glycosyl transferase, group 1	Bacteria	Proteobacteria	Deltaproteobacteria
aggregates-combined-assembly1_5149673_1_1041_-	aggregates-combined-assembly1_5149673_1_1041_-	0.03901929101345	0.0126194176334145	n.d.	CE9	CE	CAL65759.1	metal-dependent hydrolase superfamily protein	Bacteria	Bacteroidetes	Flavobacteria
aggregates-combined-assembly1_5151029_1_711_+	aggregates-combined-assembly1_5151029_1_711_+	0.01697424067355	0.00372184060173917	n.d.	GT41	GT	ABP33342.1	TPR repeat-containing protein	Bacteria	Proteobacteria	Betaproteobacteria
aggregates-combined-assembly1_5151325_125_940_-	aggregates-combined-assembly1_5151325_125_940_-	0.033797294474875	0.00912967546810241	n.d.	GT41	GT	ABF43727.1	TPR repeat protein	Bacteria	Acidobacteria	Acidobacteriales
aggregates-combined-assembly1_5161428_1_307_-	aggregates-combined-assembly1_5161428_1_307_-	0.019640767913925	0.00259729155367301	n.d.	GT5	GT	ABB30949.1	Glycogen/starch synthases, ADP-glucose type	Bacteria	Proteobacteria	Deltaproteobacteria
aggregates-combined-assembly1_5162129_1_792_-	aggregates-combined-assembly1_5162129_1_792_-	0.02111721465705	0.00461144348241044	n.d.	GH18	GH	BAF02587.1	chitinase	Bacteria	environmental	
aggregates-combined-assembly1_5162299_672_896_-	aggregates-combined-assembly1_5162299_672_896_-	0.0304210131829	0.0136591072573447	n.d.	GT2	GT	ABX42017.1	hypothetical protein Cphy_1645	Bacteria	Firmicutes	Clostridia
aggregates-combined-assembly1_5162299_983_2021_-	aggregates-combined-assembly1_5162299_983_2021_-	0.0304210131829	0.0136591072573447	n.d.	GT2	GT	ABX42017.1	hypothetical protein Cphy_1645	Bacteria	Firmicutes	Clostridia
aggregates-combined-assembly1_5162503_1_603_+	aggregates-combined-assembly1_5162503_1_603_+	0.047916432188975	0.0112726885789333	n.d.	CE4	CE	CAI83173.1	glycosyl transferase	Bacteria	Chloroflexi	Dehalococcoidetes
aggregates-combined-assembly1_5162503_648_969_+	aggregates-combined-assembly1_5162503_648_969_+	0.047916432188975	0.0112726885789333	n.d.	CE4	CE	ACA40307.1	polysaccharide deacetylase family protein	Bacteria	Firmicutes	Bacillales
aggregates-combined-assembly1_5163049_220_687_+	aggregates-combined-assembly1_5163049_220_687_+	0.0297361479793275	0.0099921404012349	n.d.	GT41	GT	AAR38495.1	TPR repeat protein	Bacteria	environmental	
aggregates-combined-assembly1_5163584_30_467_-	aggregates-combined-assembly1_5163584_30_467_-	0.0353571228695	0.00917300584342943	n.d.	GH16	GH	ABQ70890.1	glycoside hydrolase, family 16	Bacteria	Proteobacteria	Alphaproteobacteria
aggregates-combined-assembly1_5163902_1_494_-	aggregates-combined-assembly1_5163902_1_494_-	0.0250123256387	0.00623728455624978	n.d.	GH43	GH	CAD72594.1	arylsulfatase	Bacteria	Planctomycetes	Planctomycetacia
aggregates-combined-assembly1_5164300_1_812_+	aggregates-combined-assembly1_5164300_1_812_+	0.026666389700805	0.00912230734158193	n.d.	GT41	GT	AAR38498.1	TPR repeat protein	Bacteria	environmental	
aggregates-combined-assembly1_5164319_1_625_+	aggregates-combined-assembly1_5164319_1_625_+	0.04485042787285	0.00756429034679281	n.d.	GH29	GH	ABX43380.1	Alpha-L-fucosidase	Bacteria	Firmicutes	Clostridia
aggregates-combined-assembly1_5165696_1_437_-	aggregates-combined-assembly1_5165696_1_437_-	0.025338505729075	0.0047994718341792	n.d.	GH109	GH	ABV86790.1	oxidoreductase domain protein	Bacteria	Proteobacteria	Gammaproteobacteria
aggregates-combined-assembly1_5171407_1_158_+	aggregates-combined-assembly1_5171407_1_158_+	0.02041257252805	0.00774257460438729	n.d.	GH1	GH	ABD08322.1	Beta-glucosidase	Bacteria	Proteobacteria	Alphaproteobacteria
aggregates-combined-assembly1_5176241_1_625_-	aggregates-combined-assembly1_5176241_1_625_-	0.04397694249035	0.0164557148390613	n.d.	CE10	CE	AAG10492.1	predicted esterase of alpha/beta hydrolase fold	Bacteria	Proteobacteria	Gammaproteobacteria
aggregates-combined-assembly1_5176586_1612_1877_-	aggregates-combined-assembly1_5176586_1612_1877_-	0.018680434940325	0.00499947885263346	n.d.	GH3	GH	ABF43061.1	Beta-glucosidase	Bacteria	Acidobacteria	Acidobacteriales
aggregates-combined-assembly1_5176975_1_952_+	aggregates-combined-assembly1_5176975_1_952_+	0.027091870021625	0.00580003329927699	n.d.	GH37	GH	CAL65732.1	trehalase	Bacteria	Bacteroidetes	Flavobacteria
aggregates-combined-assembly1_5177011_1_994_-	aggregates-combined-assembly1_5177011_1_994_-	0.0274540655343	0.00710198300956616	n.d.	CBM35	CB	CAJ88274.1	putative GntR-family transcriptional regulator	Bacteria	Actinobacteria	Actinobacteridae
aggregates-combined-assembly1_5177090_1_587_+	aggregates-combined-assembly1_5177090_1_587_+	0.01760150420463	0.00516567742090343	n.d.	GH92	GH	EAA62552.1	hypothetical protein AN53922	Eukaryota	Fungi	Ascomycota
aggregates-combined-assembly1_5178811_75_994_+	aggregates-combined-assembly1_5178811_75_994_+	0.029234639288525	0.00380956781858283	n.d.	GT2	GT	CAG74948.1	putative bifunctional enzyme including aminotransferase and chitin synthase	Bacteria	Proteobacteria	Gammaproteobacteria
aggregates-combined-assembly1_5179097_1_734_+	aggregates-combined-assembly1_5179097_1_734_+	0.0294568943518	0.00636752610976702	n.d.	GT30	GT	ABK19422.1	Three-deoxy-D-manno-octulosonic-acid transferase domain protein	Bacteria	Proteobacteria	Deltaproteobacteria
aggregates-combined-assembly1_5179748_399_834_+	aggregates-combined-assembly1_5179748_399_834_+	0.0231609272564	0.00540519993999118	3.2.1.-	GH48	GH	CAD32945.1	cellulose 1,4-beta-cellobiosidase	Bacteria	Firmicutes	Bacillales
aggregates-combined-assembly1_5179897_1_351_+	aggregates-combined-assembly1_5179897_1_351_+	0.0263766445023	0.00723967209480115	n.d.	GH16	GH	ABZ73922.1	glycoside hydrolase family 16	Bacteria	Proteobacteria	Alphaproteobacteria
aggregates-combined-assembly1_5179904_1_351_+	aggregates-combined-assembly1_5179904_1_351_+	0.0452423206688	0.00853311112672888	n.d.	GT1	GT	CAO86703.1	unnamed protein product	Bacteria	Cyanobacteria	Chroococcales
aggregates-combined-assembly1_5179914_1_386_-	aggregates-combined-assembly1_5179914_1_386_-	0.029098812346825	0.00510546073656904	n.d.	GT4	GT	CAN97490.1	glycosyltransferase	Bacteria	Proteobacteria	Deltaproteobacteria
aggregates-combined-assembly1_5180336_1_862_-	aggregates-combined-assembly1_5180336_1_862_-	0.028838344962045	0.00946519131458717	n.d.	GT2	GT	AAO76290.1	two-component system sensor histidine kinase/response regulator, hybrid (one component system)	Bacteria	Bacteroidetes	Bacteroidetes
aggregates-combined-assembly1_5180517_1_681_-	aggregates-combined-assembly1_5180517_1_681_-	0.0270644169970225	0.00693355207173492	n.d.	CE4	CE	BAE56160.1	unnamed protein product	Eukaryota	Fungi	Dikarya
aggregates-combined-assembly1_5181904_1_563_+	aggregates-combined-assembly1_5181904_1_563_+	0.024607073607955	0.00525653098784789	n.d.	GT35	GT	CAJ75074.1	similar to glycogen phosphorylase	Bacteria	Planctomycetes	Planctomycetacia
aggregates-combined-assembly1_5188386_1_939_-	aggregates-combined-assembly1_5188386_1_939_-	0.027642929276175	0.0073250792453007	n.d.	GT41	GT	ABP35040.1	TPR repeat-containing protein	Bacteria	Proteobacteria	Betaproteobacteria
aggregates-combined-assembly1_5190353_28_928_-	aggregates-combined-assembly1_5190353_28_928_-	0.019438565234175	0.00448034613049158	n.d.	GT2	GT	CAB50071.1	Putative glycosyltransferase	Archaea	Euryarchaeota	Thermococci
aggregates-combined-assembly1_5190639_363_833_+	aggregates-combined-assembly1_5190639_363_833_+	0.027254395136075	0.00363304157008922	n.d.	GH18	GH	CAJ68298.1	putative bifunctional protein: peroxiredoxin/chitinase	Bacteria	Firmicutes	Clostridia
aggregates-combined-assembly1_5190873_11_892_-	aggregates-combined-assembly1_5190873_11_892_-	0.02055777664355	0.00467149931772371	n.d.	GT2	GT	ABQ87799.1	glycosyltransferase/CDP-glycerol:poly(glycerophosphate) glycerophosphotransferase, GT2 family	Archaea	Euryarchaeota	Methanobacteria
aggregates-combined-assembly1_5191150_1_741_+	aggregates-combined-assembly1_5191150_1_741_+	0.0244774729859525	0.00603958843861544	n.d.	CE4	CE	BAE56160.1	unnamed protein product	Eukaryota	Fungi	Dikarya
aggregates-combined-assembly1_5191536_1_802_-	aggregates-combined-assembly1_5191536_1_802_-	0.030825510361775	0.0152124032484005	n.d.	PL1	PL	ABQ05655.1	Fibronectin, type III domain protein	Bacteria	Bacteroidetes	Flavobacteria
aggregates-combined-assembly1_5191551_1_723_+	aggregates-combined-assembly1_5191551_1_723_+	0.023658590165455	0.00754403716207827	n.d.	GT2	GT	AAO76290.1	two-component system sensor histidine kinase/response regulator, hybrid (one component system)	Bacteria	Bacteroidetes	Bacteroidetes
aggregates-combined-assembly1_5192765_1_530_-	aggregates-combined-assembly1_5192765_1_530_-	0.0318677307476	0.00826124785528239	n.d.	GH15	GH	ABA58092.1	Glycoside hydrolase	Bacteria	Proteobacteria	Gammaproteobacteria
aggregates-combined-assembly1_5193138_220_704_+	aggregates-combined-assembly1_5193138_220_704_+	0.02470210858715	0.00646472364161712	n.d.	CE4	CE	ABG62199.1	polysaccharide deacetylase	Bacteria	Proteobacteria	Alphaproteobacteria
aggregates-combined-assembly1_5194152_1_415_-	aggregates-combined-assembly1_5194152_1_415_-	0.0262611376700475	0.00712117705525589	n.d.	CE9	CE	ABQ30629.1	N-acetylglucosamine-6-phosphate deacetylase	Bacteria	Proteobacteria	Alphaproteobacteria
aggregates-combined-assembly1_5194387_1_710_+	aggregates-combined-assembly1_5194387_1_710_+	0.0221025601930525	0.00754539542898759	n.d.	GH3	GH	ABM06856.1	Beta-glucosidase	Bacteria	Actinobacteria	Actinobacteridae
aggregates-combined-assembly1_5194520_1_960_-	aggregates-combined-assembly1_5194520_1_960_-	0.01809345208287	0.00449257803521863	n.d.	CBM13	CB	CAB92109.1	putative serine/threonine protein kinase	Bacteria	Actinobacteria	Actinobacteridae
aggregates-combined-assembly1_5194632_1_394_-	aggregates-combined-assembly1_5194632_1_394_-	0.017151103140705	0.00522876853497646	n.d.	GT2	GT	AAO76290.1	two-component system sensor histidine kinase/response regulator, hybrid (one component system)	Bacteria	Bacteroidetes	Bacteroidetes
aggregates-combined-assembly1_5200538_1_276_+	aggregates-combined-assembly1_5200538_1_276_+	0.03107503481095	0.0103456349544212	n.d.	GH2	GH	AAT84037.1	beta-glucuronidase	Bacteria	Actinobacteria	Actinobacteridae
aggregates-combined-assembly1_5201036_1_865_-	aggregates-combined-assembly1_5201036_1_865_-	0.0187833373896225	0.00538953362933172	n.d.	CBM5	CB	AAT81212.1	endo-chitinase	Bacteria	Proteobacteria	Gammaproteobacteria
aggregates-combined-assembly1_5203432_1_659_+	aggregates-combined-assembly1_5203432_1_659_+	0.0235654244353	0.00699364721486607	n.d.	GH23	GH	ABY93426.1	Lytic transglycosylase, catalytic	Bacteria	Firmicutes	Clostridia
aggregates-combined-assembly1_5203529_472_930_-	aggregates-combined-assembly1_5203529_472_930_-	0.0272365029240225	0.0104884867010129	n.d.	GT2	GT	ABS01822.1	response regulator receiver protein	Bacteria	Actinobacteria	Actinobacteridae
aggregates-combined-assembly1_5203733_1_1000_+	aggregates-combined-assembly1_5203733_1_1000_+	0.03342436382825	0.0062533346224821	n.d.	CE14	CE	ABG60113.1	conserved hypothetical protein	Bacteria	Bacteroidetes	Sphingobacteria
aggregates-combined-assembly1_5203784_171_699_+	aggregates-combined-assembly1_5203784_171_699_+	0.04259589027175	0.00830802195390102	n.d.	GH13	GH	ABN96148.1	trehalose synthase	Bacteria	Actinobacteria	Actinobacteridae
aggregates-combined-assembly1_5205773_1_742_-	aggregates-combined-assembly1_5205773_1_742_-	0.0234034106097475	0.00619033688985181	n.d.	CE10	CE	AAG20414.1	acylaminoacyl-peptidase	Archaea	Euryarchaeota	Halobacteria
aggregates-combined-assembly1_5205826_1_725_+	aggregates-combined-assembly1_5205826_1_725_+	0.031790863438575	0.00722825755580827	n.d.	GT2	GT	BAG21787.1	putative glycosyl transferase	Bacteria	Actinobacteria	Actinobacteridae
aggregates-combined-assembly1_5206053_1_669_+	aggregates-combined-assembly1_5206053_1_669_+	0.0293329169412	0.00897520506820709	n.d.	GT4	GT	ACB74521.1	glycosyl transferase group 1	Bacteria	Verrucomicrobia	Opitutae
aggregates-combined-assembly1_5206193_1_868_+	aggregates-combined-assembly1_5206193_1_868_+	0.024306081986605	0.00837422227820687	n.d.	none	none	ABP71318.1	NAD-dependent epimerase/dehydratase	Bacteria	Proteobacteria	Alphaproteobacteria
aggregates-combined-assembly1_5206221_1_618_+	aggregates-combined-assembly1_5206221_1_618_+	0.022456193308	0.00527170299225986	n.d.	GT4	GT	BAB49090.1	glycosyltransferase	Bacteria	Proteobacteria	Alphaproteobacteria
aggregates-combined-assembly1_5206280_1_670_-	aggregates-combined-assembly1_5206280_1_670_-	0.017762160070005	0.00528156857283775	n.d.	GH95	GH	EAA63677.1	hypothetical protein AN31062	Eukaryota	Fungi	Ascomycota
aggregates-combined-assembly1_5207118_411_706_+	aggregates-combined-assembly1_5207118_411_706_+	0.0272879382010725	0.00875384027371242	n.d.	GT2	GT	AAO76290.1	two-component system sensor histidine kinase/response regulator, hybrid (one component system)	Bacteria	Bacteroidetes	Bacteroidetes
aggregates-combined-assembly1_5216594_1_763_+	aggregates-combined-assembly1_5216594_1_763_+	0.02502215417718	0.00847926945499831	n.d.	GT9	GT	BAD57242.1	putative glycosyltransferase	Bacteria	Actinobacteria	Actinobacteridae
aggregates-combined-assembly1_5217163_104_952_-	aggregates-combined-assembly1_5217163_104_952_-	0.0290834524163	0.00788490937409737	n.d.	GH3	GH	CAH06053.1	putative beta-glucosidase	Bacteria	Bacteroidetes	Bacteroidetes
aggregates-combined-assembly1_5217215_1_663_-	aggregates-combined-assembly1_5217215_1_663_-	0.02330050816045	0.00468589879654021	n.d.	GT2	GT	AAO76290.1	two-component system sensor histidine kinase/response regulator, hybrid (one component system)	Bacteria	Bacteroidetes	Bacteroidetes
aggregates-combined-assembly1_5217357_1_789_-	aggregates-combined-assembly1_5217357_1_789_-	0.0291454111595	0.00891860607903022	n.d.	GH3	GH	ABM10630.1	glycosyl hydrolase family protein	Bacteria	Actinobacteria	Actinobacteridae
aggregates-combined-assembly1_5217574_1_458_-	aggregates-combined-assembly1_5217574_1_458_-	0.0181145270442025	0.00549424703018203	n.d.	CBM1	CB	EDJ94650.1	hypothetical protein MGG_13549	Eukaryota	Fungi	Dikarya
aggregates-combined-assembly1_5218312_1_270_+	aggregates-combined-assembly1_5218312_1_270_+	0.019302075259995	0.00830881340463101	n.d.	none	none	ABP71318.1	NAD-dependent epimerase/dehydratase	Bacteria	Proteobacteria	Alphaproteobacteria
aggregates-combined-assembly1_5218723_418_906_+	aggregates-combined-assembly1_5218723_418_906_+	0.030012067114	0.00662143158177828	n.d.	GT2	GT	AAO76290.1	two-component system sensor histidine kinase/response regulator, hybrid (one component system)	Bacteria	Bacteroidetes	Bacteroidetes
aggregates-combined-assembly1_5228486_1369_1764_-	aggregates-combined-assembly1_5228486_1369_1764_-	0.0236219117106525	0.00883107371137224	n.d.	GH92	GH	EAA62552.1	hypothetical protein AN53922	Eukaryota	Fungi	Ascomycota
aggregates-combined-assembly1_5228600_1_496_+	aggregates-combined-assembly1_5228600_1_496_+	0.0257226827985	0.0068630052411257	n.d.	GT4	GT	ABQ89195.1	glycosyl transferase, group 1	Bacteria	Chloroflexi	Chloroflexales
aggregates-combined-assembly1_5228903_482_707_+	aggregates-combined-assembly1_5228903_482_707_+	0.01849308090222	0.00588123435887805	n.d.	GT51	GT	BAC72295.1	putative penicillin-binding protein	Bacteria	Actinobacteria	Actinobacteridae
aggregates-combined-assembly1_5229111_1_562_-	aggregates-combined-assembly1_5229111_1_562_-	0.03912917463425	0.0136935394606694	n.d.	GH13	GH	ABS05210.1	trehalose synthase	Bacteria	Actinobacteria	Actinobacteridae
aggregates-combined-assembly1_5229217_609_1049_+	aggregates-combined-assembly1_5229217_609_1049_+	0.0204019891377	0.00447371976001167	n.d.	GT2	GT	ACC40760.1	glycosyl transferase	Bacteria	Actinobacteria	Actinobacteridae
aggregates-combined-assembly1_5229930_1_567_+	aggregates-combined-assembly1_5229930_1_567_+	0.022636566174625	0.00593186216685846	n.d.	CE4	CE	BAE56160.1	unnamed protein product	Eukaryota	Fungi	Dikarya
aggregates-combined-assembly1_5229953_1_449_-	aggregates-combined-assembly1_5229953_1_449_-	0.01846764887023	0.00443277086753598	n.d.	GT2	GT	CAG74948.1	putative bifunctional enzyme including aminotransferase and chitin synthase	Bacteria	Proteobacteria	Gammaproteobacteria
aggregates-combined-assembly1_5231135_1_616_+	aggregates-combined-assembly1_5231135_1_616_+	0.036050610395075	0.00530990056642242	n.d.	GT2	GT	ABZ99655.1	Putative UTP--glucose-1-phosphate uridylyltransferase	Bacteria	Spirochaetes	Spirochaetales
aggregates-combined-assembly1_5231344_1_564_-	aggregates-combined-assembly1_5231344_1_564_-	0.029705695844225	0.0105682300764824	n.d.	GH32	GH	ABM07719.1	putative Glycosyl hydrolases family 32	Bacteria	Actinobacteria	Actinobacteridae
aggregates-combined-assembly1_5231932_1_499_+	aggregates-combined-assembly1_5231932_1_499_+	0.0206514536626	0.00428180431459601	n.d.	CE4	CE	ABJ80419.1	Polysaccharide deacetylase	Bacteria	Spirochaetes	Spirochaetales
aggregates-combined-assembly1_5232373_1_913_-	aggregates-combined-assembly1_5232373_1_913_-	0.023187114140225	0.00659602551497615	n.d.	CE10	CE	AAG18962.1	conserved hypothetical protein	Archaea	Euryarchaeota	Halobacteria
aggregates-combined-assembly1_5239367_1_452_-	aggregates-combined-assembly1_5239367_1_452_-	0.02239853171128	0.0106905721715911	n.d.	GT2	GT	CAN98014.1	putative capK; capsular polysaccharide biosynthesis protein	Bacteria	Proteobacteria	Deltaproteobacteria
aggregates-combined-assembly1_5241669_1_735_-	aggregates-combined-assembly1_5241669_1_735_-	0.036381994227325	0.00933053008193805	n.d.	GH23	GH	ABH00221.1	possible peptidase	Bacteria	Actinobacteria	Actinobacteridae
aggregates-combined-assembly1_5241806_225_550_+	aggregates-combined-assembly1_5241806_225_550_+	0.0271799238293	0.00468526011021387	n.d.	CBM5	CB	ACA88898.1	peptidase S8 and S53 subtilisin kexin sedolisin	Bacteria	Proteobacteria	Gammaproteobacteria
aggregates-combined-assembly1_5242157_53_624_-	aggregates-combined-assembly1_5242157_53_624_-	0.030431656497525	0.0100233499049222	n.d.	GH65	GH	ABL82921.1	Kojibiose phosphorylase	Bacteria	Actinobacteria	Actinobacteridae
aggregates-combined-assembly1_5242355_1_800_-	aggregates-combined-assembly1_5242355_1_800_-	0.0333450241618975	0.0117740617114003	n.d.	GT2	GT	AAZ56206.1	similar to Glycosyltransferases involved in cell wall biogenesis	Bacteria	Actinobacteria	Actinobacteridae
aggregates-combined-assembly1_5243615_1_1029_+	aggregates-combined-assembly1_5243615_1_1029_+	0.0463560925054275	0.0187979720750002	n.d.	CE10	CE	CAA20138.1	dipeptidyl aminopeptidase (predicted)	Eukaryota	Fungi	Dikarya
aggregates-combined-assembly1_5244016_1_1077_+	aggregates-combined-assembly1_5244016_1_1077_+	0.042478094720975	0.014837288323856	n.d.	GT4	GT	CAB36593.1	putative transferase	Bacteria	Actinobacteria	Actinobacteridae
aggregates-combined-assembly1_5244038_1_229_-	aggregates-combined-assembly1_5244038_1_229_-	0.0150032219513075	0.00435139533329757	n.d.	GH13	GH	ABK02310.1	alpha amylase, catalytic region	Bacteria	Actinobacteria	Actinobacteridae
aggregates-combined-assembly1_5244140_32_557_-	aggregates-combined-assembly1_5244140_32_557_-	0.022846504877775	0.00358195879777985	n.d.	GT51	GT	AAT83856.1	penicillin-binding protein (transglycosylase/transpeptidase)	Bacteria	Actinobacteria	Actinobacteridae
aggregates-combined-assembly1_5244152_1_348_+	aggregates-combined-assembly1_5244152_1_348_+	0.0239439782933	0.00736411651850982	n.d.	GH13	GH	ABJ85468.1	alpha amylase, catalytic region	Bacteria	Acidobacteria	Solibacteres
aggregates-combined-assembly1_5244183_86_862_-	aggregates-combined-assembly1_5244183_86_862_-	0.031955784555275	0.00670560019275681	n.d.	none	none	ACA46895.1	cytidylyltransferase domain protein	Bacteria	Firmicutes	Clostridia
aggregates-combined-assembly1_5244295_1_663_-	aggregates-combined-assembly1_5244295_1_663_-	0.027625456533655	0.00774041718679319	n.d.	CE9	CE	ACB82938.1	N-acetylglucosamine-6-phosphate deacetylase	Bacteria	Proteobacteria	Alphaproteobacteria
aggregates-combined-assembly1_5244710_1_309_-	aggregates-combined-assembly1_5244710_1_309_-	0.039319100581225	0.0100759040016977	n.d.	CE4	CE	ABT17376.1	polysaccharide deacetylase family protein	Archaea	Euryarchaeota	Halobacteria
aggregates-combined-assembly1_5245534_149_409_+	aggregates-combined-assembly1_5245534_149_409_+	0.0225393787561	0.00710273614575344	n.d.	GH3	GH	ABM06825.1	putative beta-N-acetylhexosaminidase	Bacteria	Actinobacteria	Actinobacteridae
aggregates-combined-assembly1_5246030_1_357_+	aggregates-combined-assembly1_5246030_1_357_+	0.0234314667426	0.0067044501083099	n.d.	GT4	GT	ABG65060.1	glycosyl transferase, group 1	Bacteria	Proteobacteria	Alphaproteobacteria
aggregates-combined-assembly1_5246480_1_717_-	aggregates-combined-assembly1_5246480_1_717_-	0.0303546973691	0.00836885234726655	n.d.	CBM13	CB	CAD55485.1	putative serine/threonine protein kinase (fragment)	Bacteria	Actinobacteria	Actinobacteridae
aggregates-combined-assembly1_5254937_102_677_-	aggregates-combined-assembly1_5254937_102_677_-	0.02344504924347	0.00784869834424206	n.d.	GH24	GH	ABD55238.1	glycoside hydrolase family 24	Bacteria	Proteobacteria	Alphaproteobacteria
aggregates-combined-assembly1_5255621_312_1019_-	aggregates-combined-assembly1_5255621_312_1019_-	0.0392060419433	0.0122558100660943	n.d.	GT2	GT	AAO76290.1	two-component system sensor histidine kinase/response regulator, hybrid (one component system)	Bacteria	Bacteroidetes	Bacteroidetes
